,cleaned_required_skills,simplified_job_title,count
298,cloud platform,Data Scientist,10
299,cloud service,Data Analyst,1
300,cloud service,Data Scientist,2
301,cloud technology,Data Analyst,1
302,cloud technology,Data Scientist,5
303,cloud technology,Intern,1
304,cloud tool,Data Scientist,1
305,cloudbased architecture,Data Scientist,1
306,cloudbased data platform,Data Scientist,1
307,cloudbased tableau,Data Scientist,1
308,cluster analysis,Data Scientist,1
309,clustering,Data Scientist,3
310,cnet,Data Analyst,1
311,cnn,Data Scientist,1
312,coaching,Data Scientist,1
313,code development,Data Scientist,1
314,code quality assurance,Data Analyst,1
315,code review,Data Scientist,1
316,coding,Data Scientist,8
317,cognos analytics,Data Scientist,1
318,cognos bi,Business Intelligence,1
319,cohort analysis,Data Analyst,1
320,collaboration,Business Intelligence,2
321,collaboration,Data Analyst,27
322,collaboration,Data Scientist,20
323,collaboration,Intern,4
324,collaborative,Data Analyst,1
325,collaborative coding,Data Scientist,1
326,collaborative development,Data Scientist,1
327,collaborative work,Data Scientist,1
328,comet,Data Analyst,1
329,communication,Business Intelligence,11
330,communication,Data Analyst,130
331,communication,Data Scientist,89
332,communication,Intern,10
333,communication skill,Business Intelligence,5
334,communication skill,Data Analyst,34
335,communication skill,Data Scientist,16
336,communication skill,Intern,5
337,complex data analysis,Data Analyst,1
338,complex problem solving,Data Analyst,1
339,compliance,Data Analyst,1
340,compliance,Data Scientist,1
341,compliance review,Data Analyst,1
342,compsci,Data Scientist,1
343,computational,Data Scientist,1
344,computational analysis,Data Scientist,1
345,computational research,Data Scientist,1
346,computer knowledge,Data Analyst,1
347,computer science,Data Analyst,1
348,computer science,Data Scientist,2
349,computer science,Intern,1
350,computer vision,Data Scientist,15
351,conducting study,Data Scientist,1
352,confidentiality,Business Intelligence,1
353,configuration management,Data Scientist,1
354,conflict analysis,Data Analyst,1
355,confluence,Data Analyst,1
356,confusion matrix,Data Scientist,1
357,constrained optimization,Data Scientist,1
358,consultative mindset,Data Analyst,1
359,consulting,Data Scientist,3
360,consumer behavior,Data Scientist,1
361,consumer engagement,Data Scientist,1
362,consumerfacing product,Data Scientist,1
363,contact center,Data Analyst,1
364,container,Data Scientist,1
365,containerization,Data Scientist,4
366,continuous improvement,Data Scientist,1
367,continuous learning,Data Analyst,1
368,conversion rate optimization,Data Analyst,1
369,copywriting,Data Analyst,1
370,cost structure,Data Analyst,1
371,cost tracking,Data Analyst,1
372,cpg domain,Data Scientist,1
373,creative problem solving,Data Scientist,1
374,creative solution,Data Analyst,1
375,creative thinking,Data Scientist,2
376,credit,Data Scientist,1
377,credit bureau data,Data Scientist,1
378,critical thinking,Business Intelligence,2
379,critical thinking,Data Analyst,6
380,critical thinking,Data Scientist,1
381,critical thinking,Intern,1
382,criticalthinking,Data Analyst,1
383,criticalthinking skill,Business Intelligence,1
384,crm,Data Analyst,2
385,crm analytics,Data Scientist,1
386,crm management,Data Analyst,1
387,crm platform,Data Analyst,1
388,crm tool,Business Intelligence,1
389,crm tool,Data Analyst,1
390,cross validation,Data Scientist,1
391,crossfunctional,Data Analyst,1
392,crossfunctional collaboration,Business Intelligence,1
393,crossfunctional collaboration,Data Analyst,4
394,crossfunctional collaboration,Data Scientist,1
395,crossfunctional initiative,Data Analyst,1
396,crossfunctional project,Data Scientist,1
397,crossfunctional team,Business Intelligence,1
398,crossfunctional team,Data Analyst,1
399,crossfunctional teamwork,Data Scientist,1
400,cryptography,Data Analyst,1
401,crystal report,Data Analyst,1
402,cs,Data Analyst,1
403,curiosity,Data Analyst,1
404,curve,Data Analyst,1
405,custom object detection,Data Scientist,1
406,custom reporting,Data Analyst,1
407,custom visualization,Data Analyst,1
408,customer analytics,Data Analyst,2
409,customer analytics,Data Scientist,1
410,customer behavior,Data Scientist,1
411,customer data modeling,Data Scientist,1
412,customer data modelling,Data Scientist,1
413,customer experience data,Data Analyst,1
414,customer focus,Business Intelligence,1
415,customer focus,Data Analyst,1
416,customer focus,Data Scientist,1
417,customer journey,Data Analyst,1
418,customer journey mapping,Data Analyst,1
419,customer journey optimization,Data Analyst,1
420,customer modeling,Data Scientist,1
421,customer relationship management,Intern,1
422,customer retention,Data Scientist,1
