,companyName,applyUrl,experienceLevel,location,min_years_of_experience,required_degree,remote_work,avg_hourly_salary,avg_yearly_salary,simplified_job_title
1129,Tanium,https://www.tanium.com/careers/6356081?gh_jid=6356081&gh_src=f0ee6cde1us,Mid-Senior level,United States,8.0,BS,,,272500.0,Data Scientist
1160,Stealth AI FinTech Startup,https://www.linkedin.com/jobs/view/senior-data-scientist-senior-machine-learning-engineer-at-stealth-ai-fintech-startup-4096488582?trk=public_jobs_topcard-title,Mid-Senior level,United States,8.0,MS/PhD,True,,,Data Scientist
1175,Magic Eden,https://jobs.ashbyhq.com/magiceden/813e42b9-acc4-4dc7-904b-60a1c0aaae3d?src=LinkedIn,Entry level,United States,4.0,,True,,140000.0,Data Scientist
1192,DTN,https://dtn.wd1.myworkdayjobs.com/en-US/DTN_Careers/job/Remote-United-States/Data-Scientist_R-002552-1?source=LinkedIn,Entry level,United States,,,True,,74375.0,Data Scientist
1197,Oracle,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/264924/?utm_medium=jobboard&utm_source=LinkedIn,Mid-Senior level,United States,5.0,MS,,,143100.0,Data Scientist
1212,Cotiviti,https://careers-cotiviti.icims.com/jobs/13441/data-scientist-ii\u002d\u002d-ai-ml/job?mode=apply&iis=LinkedIn&in_iframe=1&iisn=LinkedIn,Mid-Senior level,United States,5.0,MS,True,,125000.0,Data Scientist
1225,Kajabi,https://kajabi.com/careers?gh_jid=6275535003,Entry level,United States,8.0,,,79.5,167000.0,Data Scientist
1245,People In AI,https://www.linkedin.com/jobs/view/principal-data-scientist-at-people-in-ai-4089825533?trk=public_jobs_topcard-title,Director,United States,,,True,,250000.0,Data Scientist
1306,FedEx Dataworks,https://careers.fedex.com/data-scientist-iii/job/P25-174069-1?utm_domicile=unspecified&utm_persona=unspecified&utm_trackedsource=srm_linkedin_jb&utm_subco=FDW&utm_persona=unspecified&utm_trackedsource=srm_linkedin_jb&utm_subco=FCC,Entry level,United States,3.0,MS,True,,139602.0,Data Scientist
1345,StackAdapt,https://jobs.lever.co/stackadapt/8aa54ec4-f44d-41e9-aa4e-d0c085e1cdbb/apply?source=LinkedIn,Mid-Senior level,United States,4.0,MS,True,,,Data Scientist
1365,eTeam,https://www.linkedin.com/jobs/view/associate-director-sr-rwe-data-scientist-at-eteam-4096139554?trk=public_jobs_topcard-title,Director,United States,,PhD or MS,True,77.5,,Data Scientist
1379,Fanatics,https://fa-exki-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/job/20745/?utm_medium=jobboard&utm_source=linkedin,Entry level,United States,5.0,,,,,Data Scientist
1420,Zendesk,https://jobs.zendesk.com/us/en/job/ZENDUSR29410EXTERNALENUS/Staff-Data-Scientist?s=LinkedIn&utm_medium=phenom-feeds&utm_source=linkedin,Not Applicable,United States,5.0,BS,True,,194000.0,Data Scientist
1430,Ovative Group,https://recruiting2.ultipro.com/OVA1001OVAT/JobBoard/85b30ac8-fbc2-423f-a2d7-874fdd0afe5f/OpportunityDetail?opportunityId=05845f98-d766-4f15-9262-26534ecbea8c&source=LinkedIn&utm_source=LINKEDIN,Mid-Senior level,United States,5.0,,,,105500.0,Data Scientist
1484,Ensemble Health Partners,https://ensemblehp.wd5.myworkdayjobs.com/en-US/EnsembleHealthPartnersCareers/job/Remote\u002d\u002d-Nationwide/Data-Scientist_R022351?source=LinkedIn,Mid-Senior level,United States,3.0,PhD or MSc,,,121325.0,Data Scientist
1488,Octane®,https://octane.co/o/who-we-are/careers/jobs-open?gh_jid=6296716003&gh_src=f2f474523us,Entry level,United States,7.0,PhD,,,157500.0,Data Scientist
1490,Spring Health,https://job-boards.greenhouse.io/springhealth66/jobs/4492241005?gh_src=a8d055a25us,Mid-Senior level,United States,5.0,STEM-related field,True,,176625.0,Data Scientist
1510,GoodLeap,https://jobs.lever.co/goodleap/42a37e96-a817-463e-b00c-2051bd28ad31/apply?source=LinkedIn,Mid-Senior level,United States,5.0,MS,,,148500.0,Data Scientist
